{'bucket': 1768251720, 'open': 345.98, 'high': 345.98, 'low': 345.8, 'close': 345.87}
{'bucket': 1768251780, 'open': 345.87, 'high': 345.87, 'low': 345.7, 'close': 345.75}
{'bucket': 1768251840, 'open': 345.8, 'high': 345.87, 'low': 345.8, 'close': 345.8}
{'bucket': 1768251600, 'open': 345.87, 'high': 345.87, 'low': 345.87, 'close': 345.87}
{'bucket': 1768251840, 'open': 345.8, 'high': 345.87, 'low': 345.71, 'close': 345.87}
{'bucket': 1768251900, 'open': 345.81, 'high': 345.87, 'low': 345.8, 'close': 345.86}
{'bucket': 1768251960, 'open': 345.82, 'high': 345.85, 'low': 345.72, 'close': 345.83}
{'bucket': 1768252020, 'open': 345.86, 'high': 345.86, 'low': 345.734, 'close': 345.86}
{'bucket': 1768252080, 'open': 345.8585, 'high': 345.87, 'low': 345.85, 'close': 345.85}
{'bucket': 1768252140, 'open': 345.85, 'high': 345.87, 'low': 345.7101, 'close': 345.81}
{'bucket': 1768252200, 'open': 345.78, 'high': 345.87, 'low': 345.71, 'close': 345.71}
{'bucket': 1768252260, 'open': 345.71, 'high': 345.86, 'low': 345.6992, 'close': 345.86}
{'bucket': 1768252320, 'open': 345.8017, 'high': 345.87, 'low': 345.8, 'close': 345.8699}
{'bucket': 1768252380, 'open': 345.8505, 'high': 345.87, 'low': 345.85, 'close': 345.85}
{'bucket': 1768252440, 'open': 345.85, 'high': 345.85, 'low': 345.7502, 'close': 345.7502}
{'bucket': 1768252500, 'open': 345.87, 'high': 345.87, 'low': 345.71, 'close': 345.7885}
{'bucket': 1768252560, 'open': 345.77, 'high': 345.8, 'low': 345.71, 'close': 345.7436}
{'bucket': 1768252620, 'open': 345.7164, 'high': 345.78, 'low': 345.7164, 'close': 345.78}
{'bucket': 1768252680, 'open': 345.77, 'high': 345.77, 'low': 345.68, 'close': 345.74}
{'bucket': 1768252740, 'open': 345.79, 'high': 345.79, 'low': 345.79, 'close': 345.79}
{'bucket': 1768251600, 'open': 345.87, 'high': 345.87, 'low': 345.87, 'close': 345.87}
{'bucket': 1768252740, 'open': 345.77, 'high': 345.7977, 'low': 345.67, 'close': 345.67}
{'bucket': 1768252800, 'open': 345.6926, 'high': 345.87, 'low': 345.55, 'close': 345.65}
{'bucket': 1768252860, 'open': 345.6962, 'high': 345.7, 'low': 345.55, 'close': 345.55}
{'bucket': 1768252920, 'open': 345.55, 'high': 345.7, 'low': 345.55, 'close': 345.62}
{'bucket': 1768252980, 'open': 345.55, 'high': 345.58, 'low': 345.5, 'close': 345.5}
{'bucket': 1768253040, 'open': 345.62, 'high': 345.64, 'low': 345.51, 'close': 345.55}
{'bucket': 1768253100, 'open': 345.7, 'high': 345.7, 'low': 345.67, 'close': 345.6709}
{'bucket': 1768253160, 'open': 345.7, 'high': 345.71, 'low': 345.68, 'close': 345.68}
{'bucket': 1768253220, 'open': 345.68, 'high': 345.72, 'low': 345.6028, 'close': 345.68}
{'bucket': 1768253280, 'open': 345.5, 'high': 345.8, 'low': 345.5, 'close': 345.5792}
{'bucket': 1768253385, 'open': 345.55, 'high': 345.55, 'low': 345.55, 'close': 345.55}
{'bucket': 1768253400, 'open': 345.65, 'high': 345.65, 'low': 345.65, 'close': 345.65}
{'bucket': 1768253405, 'open': 345.65, 'high': 345.65, 'low': 345.65, 'close': 345.65}
{'bucket': 1768253415, 'open': 345.7999, 'high': 345.7999, 'low': 345.7999, 'close': 345.7999}
{'bucket': 1768253435, 'open': 345.7539, 'high': 345.7539, 'low': 345.7539, 'close': 345.7539}
{'bucket': 1768253440, 'open': 345.8, 'high': 345.8, 'low': 345.8, 'close': 345.8}
{'bucket': 1768253450, 'open': 345.8, 'high': 345.8, 'low': 345.8, 'close': 345.8}
{'bucket': 1768253455, 'open': 345.67, 'high': 345.67, 'low': 345.67, 'close': 345.67}
{'bucket': 1768253460, 'open': 345.66, 'high': 345.66, 'low': 345.66, 'close': 345.66}
{'bucket': 1768253465, 'open': 345.7, 'high': 345.7, 'low': 345.7, 'close': 345.7}
{'bucket': 1768253475, 'open': 345.7677, 'high': 345.7677, 'low': 345.7677, 'close': 345.7677}
{'bucket': 1768253490, 'open': 345.77, 'high': 345.77, 'low': 345.77, 'close': 345.77}
{'bucket': 1768253500, 'open': 345.8, 'high': 345.8, 'low': 345.8, 'close': 345.8}
{'bucket': 1768253515, 'open': 345.77, 'high': 345.77, 'low': 345.77, 'close': 345.77}
{'bucket': 1768253520, 'open': 345.79, 'high': 345.79, 'low': 345.79, 'close': 345.79}
{'bucket': 1768253540, 'open': 345.57, 'high': 345.57, 'low': 345.57, 'close': 345.57}
{'bucket': 1768253545, 'open': 345.77, 'high': 345.77, 'low': 345.77, 'close': 345.77}
{'bucket': 1768253550, 'open': 345.71, 'high': 345.71, 'low': 345.71, 'close': 345.71}
{'bucket': 1768253555, 'open': 345.8, 'high': 345.8, 'low': 345.8, 'close': 345.8}
{'bucket': 1768253560, 'open': 345.78, 'high': 345.78, 'low': 345.78, 'close': 345.78}
{'bucket': 1768253570, 'open': 345.8, 'high': 345.8, 'low': 345.8, 'close': 345.8}
{'bucket': 1768253575, 'open': 345.6867, 'high': 345.6867, 'low': 345.6867, 'close': 345.6867}
{'bucket': 1768253590, 'open': 345.7, 'high': 345.7, 'low': 345.7, 'close': 345.7}
{'bucket': 1768253620, 'open': 345.8, 'high': 345.8, 'low': 345.7, 'close': 345.7}
{'bucket': 1768253630, 'open': 345.7485, 'high': 345.7485, 'low': 345.5712, 'close': 345.5712}
{'bucket': 1768253635, 'open': 345.68, 'high': 345.68, 'low': 345.68, 'close': 345.68}
{'bucket': 1768253655, 'open': 345.75, 'high': 345.75, 'low': 345.75, 'close': 345.75}
{'bucket': 1768253665, 'open': 345.73, 'high': 345.73, 'low': 345.73, 'close': 345.73}
{'bucket': 1768251600, 'open': 345.87, 'high': 345.87, 'low': 345.87, 'close': 345.87}
{'bucket': 1768253670, 'open': 345.7504, 'high': 345.7504, 'low': 345.7504, 'close': 345.7504}
{'bucket': 1768253680, 'open': 345.79, 'high': 345.79, 'low': 345.79, 'close': 345.79}
{'bucket': 1768253685, 'open': 345.8, 'high': 345.8, 'low': 345.8, 'close': 345.8}
